1st Match,2nd Match,Copy-Paste Skills,Keywords to Look For,Why This Combination
INFORMATION SYSTEMS OPERATION MANAGEMENT,MANAGEMENT DEPARTMENT,Python | SQL | Excel | Data Analysis | Data Visualization | Statistics | Communication | Problem Solving,"Python, SQL, dashboards, Excel + coordination, reporting, communication",Strong data/technical skills applied in business or operational environments rather than pure technical roles
INFORMATION SYSTEMS OPERATION MANAGEMENT,STRATEGY & INTERNATIONAL BUSINESS,Communication | Customer Service | Campaign Support | Coordination,"data insights, dashboards, business decisions, reporting",Technical/data work directly supports decision-making and strategic insights
INFORMATION SYSTEMS OPERATION MANAGEMENT,FINANCE,Excel (Advanced) | Financial Modeling | Data Analysis | Forecasting | SQL,"financial models, Excel, forecasting, valuation",Data skills applied specifically in financial analysis context
INFORMATION SYSTEMS OPERATION MANAGEMENT,MARKETING,Excel | Data Analysis | A/B Testing | Customer Analytics | Dashboarding,"customer analytics, campaign performance, A/B testing",Data used to drive marketing and customer insights
INFORMATION SYSTEMS OPERATION MANAGEMENT,ITS,Python | SQL | Databases | Cloud Computing | Data Engineering | API,"systems, databases, backend, cloud, automation",Blend of analytics + system/infrastructure work
ITS,INFORMATION SYSTEMS OPERATION MANAGEMENT,Python | SQL | Databases | Automation | Data Processing,"systems, scripting, automation + data handling",Primarily technical/system work with some data usage
ITS,MANAGEMENT DEPARTMENT,IT Support | Troubleshooting | Systems Administration | Communication | Coordination,"helpdesk, troubleshooting, system support, tickets",Technical work focused on operational support rather than development
MANAGEMENT DEPARTMENT,INFORMATION SYSTEMS OPERATION MANAGEMENT,Excel | Reporting | Data Analysis | KPI Tracking | Communication,"reporting, Excel, process improvement, KPIs",Business operations supported by data tools
MANAGEMENT DEPARTMENT,MARKETING,Communication | Customer Service | Campaign Support | Coordination,"customer interaction, campaigns, outreach",People-facing work tied to marketing activities
MANAGEMENT DEPARTMENT,FINANCE,Excel | Financial Reporting | Budgeting | Reconciliation | Coordination,"budgeting, reporting, admin finance tasks",Execution role within finance processes
MANAGEMENT DEPARTMENT,STRATEGY & INTERNATIONAL BUSINESS,Project Management | Planning | Stakeholder Communication,"project planning, execution, coordination",Involved in executing strategic initiatives
MANAGEMENT DEPARTMENT,CENTER FOR INNOVATIVE COLLABORATION & LEADERSHIP,Project Management | Leadership | Coordination | Stakeholder Management,"project goals, teamwork, collaboration, leadership","Strong focus on collaboration, leadership, and execution across teams"
,,,,
STRATEGY & INTERNATIONAL BUSINESS,INFORMATION SYSTEMS OPERATION MANAGEMENT,Market Analysis | Data Analysis | Business Insights | Dashboarding,"market research, dashboards, insights",Strategy supported by analytical/data tools
STRATEGY & INTERNATIONAL BUSINESS,FINANCE,Financial Analysis | Valuation | Forecasting | Business Strategy,"market trends, valuation, financial decisions",Strategy applied in financial/business decision-making
STRATEGY & INTERNATIONAL BUSINESS,MARKETING,Market Research | Customer Segmentation | Branding | Growth Strategy,"go-to-market, branding, segmentation",Strategy focused on growth and customers
STRATEGY & INTERNATIONAL BUSINESS,INSTITUTE FOR PUBLIC SERVICE (IPS),Research | Political Analysis | Communication | Writing | Leadership,"public policy, government, global affairs, civic engagement",Macro-level thinking with public/policy orientation
FINANCE,INFORMATION SYSTEMS OPERATION MANAGEMENT,Excel (Advanced) | Financial Modeling | SQL | Data Analysis,"financial data, modeling, reporting",Finance supported by data/technical tools
FINANCE,MANAGEMENT DEPARTMENT,Financial Reporting | Budgeting | Accounting Basics | Coordination,"reporting, budgeting, admin finance",Execution-heavy finance role
FINANCE,ACCOUNTING & WRITING,Financial Analysis | Reporting | Budgeting | Forecasting | Excel,"financial analysis, P&L, forecasting",Finance-focused role supported by accounting processes
ACCOUNTING & WRITING,FINANCE,Financial Accounting | General Ledger | Payroll Processing | Cost Analysis | Financial Reporting | Forecasting | Excel (Advanced) | Journal Entries | Financial Statements | GAAP | Reconciliation | Excel (Advanced),"journal entries, GL, reconciliation, audit support",Primary focus on financial recording/compliance with some reporting exposure
